"tournament","year","gender","match_num","date","winning_team","w_rank","losing_team","l_rank","score","duration","round","sub_round"
"Cincinnati Open",2016,"M","49","May 17 - May 21","Cameron Wheelan Canada/Michael Plantinga","24, Q2","Michael Watson New Zealand/Sam O'Dea","20","29-31, 21-15, 15-12","0:51","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","50","May 17 - May 21","John Mayer/Ryan Doherty United States","10","Esteban Grimalt/Marco Grimalt Chile","8","19-21, 24-22, 15-11","0:46","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","51","May 17 - May 21","John Hyden United States/Tri Bourne","4","Christian Redmann/Felipe Humana-Paredes Canada","26, Q5","21-16, 21-15","0:29","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","52","May 17 - May 21","Maciej Kosiak/Maciej Rudol Poland","15","Bo Soderberg Australia/Cole Durant","14","21-19, 21-17","0:32","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","53","May 17 - May 21","Grant O'Gorman/Sam Pedlow Canada","11","Orlando Irizarry/Roberto Rodriguez-Bertran Puerto Rico","32, Q13","21-12, 21-17","0:28","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","54","May 17 - May 21","Ben Saxton Canada/Chaim Schalk","3","Ian Mehamed Argentina/Nicolas Capogrosso","18","21-17, 21-15","0:31","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","55","May 17 - May 21","David Poniewaz Germany/Tim Holler","21","Derek Olson United States/Jeremy Casebeer","27, Q3","21-15, 17-21, 15-9","0:46","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","56","May 17 - May 21","Jonathan Erdmann/Kay Matysik Germany","5","Kacper Kujawiak Poland/Michal Bryl","17","21-16, 21-16","0:30","Winner's Bracket","Round 1"
"Cincinnati Open",2016,"M","57","May 17 - May 21","Casey Patterson United States/Jake Gibb","1","Cameron Wheelan Canada/Michael Plantinga","24, Q2","21-17, 21-15","0:32","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","58","May 17 - May 21","John Mayer/Ryan Doherty United States","10","Alexander Walkenhorst Germany/Bennet Poniewaz","12","19-21, 22-20, 15-13","0:47","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","59","May 17 - May 21","John Hyden United States/Tri Bourne","4","Juan Virgen/Lombardo Ontiveros Mexico","6","15-21, 21-14, 15-13","0:42","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","60","May 17 - May 21","Gustavo ""Guto"" Carvalhaes/Saymon Barbosa Brazil","13","Maciej Kosiak/Maciej Rudol Poland","15","21-19, 21-18","0:33","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","61","May 17 - May 21","Grant O'Gorman/Sam Pedlow Canada","11","Taylor Crabb/Trevor Crabb United States","19, Q1","16-21, 21-19, 15-13","0:42","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","62","May 17 - May 21","Josh Binstock/Sam Schachter Canada","7","Ben Saxton Canada/Chaim Schalk","3","21-19, 21-17","0:37","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","63","May 17 - May 21","Christopher McHugh Australia/Isaac Kapa","9","David Poniewaz Germany/Tim Holler","21","21-17, 21-11","0:29","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","64","May 17 - May 21","Nick Lucena/Phil Dalhausser United States","2","Jonathan Erdmann/Kay Matysik Germany","5","16-21, 21-18, 15-10","0:41","Winner's Bracket","Round 2"
"Cincinnati Open",2016,"M","65","May 17 - May 21","John Mayer/Ryan Doherty United States","10","Casey Patterson United States/Jake Gibb","1","21-19, 17-21, 15-13","0:45","Winner's Bracket","Round 3"
"Cincinnati Open",2016,"M","66","May 17 - May 21","Gustavo ""Guto"" Carvalhaes/Saymon Barbosa Brazil","13","John Hyden United States/Tri Bourne","4","21-19, 22-20","0:34","Winner's Bracket","Round 3"
"Cincinnati Open",2016,"M","67","May 17 - May 21","Josh Binstock/Sam Schachter Canada","7","Grant O'Gorman/Sam Pedlow Canada","11","21-19, 18-21, 15-12","0:48","Winner's Bracket","Round 3"
"Cincinnati Open",2016,"M","68","May 17 - May 21","Nick Lucena/Phil Dalhausser United States","2","Christopher McHugh Australia/Isaac Kapa","9","21-13, 21-15","0:29","Winner's Bracket","Round 3"
"Cincinnati Open",2016,"M","69","May 17 - May 21","Gustavo ""Guto"" Carvalhaes/Saymon Barbosa Brazil","13","John Mayer/Ryan Doherty United States","10","21-19, 21-16","0:34","Semifinals",
"Cincinnati Open",2016,"M","70","May 17 - May 21","Josh Binstock/Sam Schachter Canada","7","Nick Lucena/Phil Dalhausser United States","2","21-17, 10-21, 15-12","0:45","Semifinals",
"Cincinnati Open",2016,"M","71","May 17 - May 21","Nick Lucena/Phil Dalhausser United States","2","John Mayer/Ryan Doherty United States","10","21-15, 21-16","0:33","Bronze Medal",
"Cincinnati Open",2016,"M","72","May 17 - May 21","Gustavo ""Guto"" Carvalhaes/Saymon Barbosa Brazil","13","Josh Binstock/Sam Schachter Canada","7","22-20, 21-8","0:33","Gold Medal",
"Huntington Beach Open",2016,"M","2","May 5 - May 8","Aaron Wexler/Alexi Gabriel","Q33","Ed Lunnen/Yosleyder Cala","Q32","21-16, 21-17","0:41","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","3","May 5 - May 8","Christian Honer/Kevin Lynch","Q17","Alex Padilla/Yadier Despaigne","Q48","21-12, 21-16","0:33","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","4","May 5 - May 8","Kevin McColloch/Matt Olson","Q16","Ben Price/David McBride","Q49","21-12, 21-11","0:36","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","6","May 5 - May 8","Chris McDonald/Danko Iordanov","Q24","John Nunns/Marcus Duffey","Q41","21-12, 15-21, 15-9","0:50","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","7","May 5 - May 8","Kevin Beukema/Kevin Gregan","Q40","Jonathan Alvarez/Jordan Gladstone","Q25","21-17, 21-9","0:40","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","10","May 5 - May 8","Bradley Lawson/Kory Matsukado","Q28","Eric Beranek/Garrett Wessberg","Q37","22-20, 21-11","0:40","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","11","May 5 - May 8","Colin Nelson/Jason Raney","Q44","Alex Dale/Christopher  Patz","Q21","21-12, 22-20","0:48","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","12","May 5 - May 8","Chris Littleman/Roman Onishchenko","Q12","Bradley Riding-Connors/Matthew Clayton","Q53","21-14, 16-21, 15-12","0:58","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","13","May 5 - May 8","Chris Luers/Jonathan Drake","Q13","Orlando Irizarry/Roberto Rodriguez-Bertran","Q52","21-15, 18-21, 15-12","0:54","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","14","May 5 - May 8","Justin Johnson/Michael Boag","Q20","Anthony Unger/Kevin Kuerbis","Q45","21-17, 21-19","0:40","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","15","May 5 - May 8","Daniel Kirkpatrick/Tal Shavit","Q29","Mike Bruning/Shane Sigg","Q36","21-19, 21-14","0:33","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","18","May 5 - May 8","Cody Kessel/David Smith","Q30","Chris Fleming/Timothy Storey","Q35","21-14, 21-16","0:38","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","19","May 5 - May 8","Dillan Bennett/Garrett Wilson","Q19","McKay Smith/Ryan Windisch","Q46","17-21, 21-19, 17-15","0:57","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","20","May 5 - May 8","Raffe Paulis/Tim May","Q14","Jordan Hendrick/Reo Sorrentino","Q51","21-17, 21-15","0:42","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","22","May 5 - May 8","Brandon McLaughlin/Mike Maghy","Q22","Hylas Smith/Matt Heagy","Q43","21-15, 21-15","0:44","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","23","May 5 - May 8","Reuben Danley/Travis Woloson","Q27","Marcin Jagoda/Szymon Tralka","Q38","21-14, 21-17","0:33","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","26","May 5 - May 8","Ben Vaught/David Rowker","Q26","Andor Gyulai/Gary Barnes","Q39","21-16, 21-14","0:45","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","27","May 5 - May 8","Art Barron/Nick Manov","Q23","Bobby Bomberg/Sture Davidsson","Q42","21-10, 21-12","0:27","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","29","May 5 - May 8","Kasey Hall/Tommy Wolfe","Q15","Griffin Conway/Timothy Blanc","Q50","22-20, 21-13","0:35","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","30","May 5 - May 8","Jason Medero/Kevin Villela","Q18","John McLaughlin/Tyler Lucas","Q47","21-15, 21-13","0:35","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","31","May 5 - May 8","Myles Muagututia/Travis Mewhirter","Q31","Graeme Cowgill/Tom Kohler","Q34","21-19, 21-15","0:42","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"M","33","May 5 - May 8","Derek Olson/Jeremy Casebeer","Q1","Aaron Wexler/Alexi Gabriel","Q33","21-8, 21-11","0:37","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","34","May 5 - May 8","Kevin McColloch/Matt Olson","Q16","Christian Honer/Kevin Lynch","Q17","21-12, 21-18","0:37","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","35","May 5 - May 8","Curt Toppel/Miles Evans","16, Q9","Chris McDonald/Danko Iordanov","Q24","18-21, 21-8, 20-18","1:03","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","36","May 5 - May 8","Daniel Dalanhese/Joe Hillman","Q8","Kevin Beukema/Kevin Gregan","Q40","26-28, 21-18, 15-6","1:06","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","37","May 5 - May 8","Avery Drost/Gregg Weaver","13, Q5","Bradley Lawson/Kory Matsukado","Q28","21-9, 21-16","0:35","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","38","May 5 - May 8","Chris Littleman/Roman Onishchenko","Q12","Colin Nelson/Jason Raney","Q44","21-10, 21-9","0:30","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","39","May 5 - May 8","Chris Luers/Jonathan Drake","Q13","Justin Johnson/Michael Boag","Q20","21-15, 21-14","0:37","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","40","May 5 - May 8","Adam Cabbage/John Moran","Q4","Daniel Kirkpatrick/Tal Shavit","Q29","21-13, 21-17","0:38","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","41","May 5 - May 8","Cody Kessel/David Smith","Q30","Alejandro Parra/Paul Araiza","Q3","22-20, 21-19","0:41","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","42","May 5 - May 8","Raffe Paulis/Tim May","Q14","Dillan Bennett/Garrett Wilson","Q19","22-20, 21-16","0:43","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","43","May 5 - May 8","Andrew Dentler/Ian Satterfield","Q11","Brandon McLaughlin/Mike Maghy","Q22","21-14, 21-12","0:38","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","44","May 5 - May 8","Maddison McKibbin/Riley McKibbin","14, Q6","Reuben Danley/Travis Woloson","Q27","21-19, 21-17","0:39","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","45","May 5 - May 8","Chase Frishman/Michael Brunsting","15, Q7","Ben Vaught/David Rowker","Q26","21-12, 21-15","0:37","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","46","May 5 - May 8","Jake Rosener/Jorge Martinez","Q10","Art Barron/Nick Manov","Q23","26-24, 21-19","0:48","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","47","May 5 - May 8","Jason Medero/Kevin Villela","Q18","Kasey Hall/Tommy Wolfe","Q15","14-21, 24-22, 15-11","0:52","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","48","May 5 - May 8","Ed Ratledge/Ty Loomis","Q2","Myles Muagututia/Travis Mewhirter","Q31","21-13, 21-14","0:33","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"M","49","May 5 - May 8","Kevin McColloch/Matt Olson","Q16","Derek Olson/Jeremy Casebeer","Q1","21-17, 18-21, 15-10","1:00","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","50","May 5 - May 8","Curt Toppel/Miles Evans","16, Q9","Daniel Dalanhese/Joe Hillman","Q8","21-19, 22-24, 16-14","1:07","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","51","May 5 - May 8","Avery Drost/Gregg Weaver","13, Q5","Chris Littleman/Roman Onishchenko","Q12","19-21, 21-19, 15-13","1:08","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","52","May 5 - May 8","Adam Cabbage/John Moran","Q4","Chris Luers/Jonathan Drake","Q13","21-19, 21-16","0:42","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","53","May 5 - May 8","Raffe Paulis/Tim May","Q14","Cody Kessel/David Smith","Q30","21-13, 20-22, 15-9","0:58","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","54","May 5 - May 8","Maddison McKibbin/Riley McKibbin","14, Q6","Andrew Dentler/Ian Satterfield","Q11","21-18, 20-22, 15-12","1:03","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","55","May 5 - May 8","Chase Frishman/Michael Brunsting","15, Q7","Jake Rosener/Jorge Martinez","Q10","21-18, 21-13","0:40","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","56","May 5 - May 8","Ed Ratledge/Ty Loomis","Q2","Jason Medero/Kevin Villela","Q18","21-17, 21-15","0:39","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"M","57","May 5 - May 8","Curt Toppel/Miles Evans","16, Q9","Kevin McColloch/Matt Olson","Q16","21-17, 26-28, 15-12","1:04","Qualifier Bracket","Round 4"
"Huntington Beach Open",2016,"M","58","May 5 - May 8","Avery Drost/Gregg Weaver","13, Q5","Adam Cabbage/John Moran","Q4","22-20, 21-15","0:45","Qualifier Bracket","Round 4"
"Huntington Beach Open",2016,"M","59","May 5 - May 8","Maddison McKibbin/Riley McKibbin","14, Q6","Raffe Paulis/Tim May","Q14","24-22, 21-11","0:49","Qualifier Bracket","Round 4"
"Huntington Beach Open",2016,"M","60","May 5 - May 8","Chase Frishman/Michael Brunsting","15, Q7","Ed Ratledge/Ty Loomis","Q2","21-13, 21-12","0:35","Qualifier Bracket","Round 4"
"Huntington Beach Open",2016,"M","1","May 5 - May 8","John Mayer/Ryan Doherty","1","Curt Toppel/Miles Evans","16, Q9","21-15, 21-13","0:30","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","2","May 5 - May 8","Billy Allen/Theo Brunner","8","Dave McKienzie/Russ Marchewka","9","21-15, 21-10","0:37","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","3","May 5 - May 8","Brad Keenan/Ty Tramblie","5","Adam Roberts/Marty Lorenz","12","19-21, 37-35, 23-21","1:30","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","4","May 5 - May 8","Taylor Crabb/Trevor Crabb","4","Avery Drost/Gregg Weaver","13, Q5","21-13, 21-9","0:34","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","5","May 5 - May 8","Nick Lucena/Phil Dalhausser","3","Maddison McKibbin/Riley McKibbin","14, Q6","21-14, 21-11","0:41","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","6","May 5 - May 8","Brian Bomgren/Tim Bomgren","11","Billy Kolinske/Casey Jennings","6","15-21, 24-22, 20-18","1:22","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","7","May 5 - May 8","Robbie Page/Todd Rogers","7","Hudson Bates/Mark Burik","10","16-21, 21-19, 17-15","1:04","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","8","May 5 - May 8","Casey Patterson/Jake Gibb","2","Chase Frishman/Michael Brunsting","15, Q7","21-11, 21-12","0:33","Winner's Bracket","Round 1"
"Huntington Beach Open",2016,"M","9","May 5 - May 8","Billy Allen/Theo Brunner","8","John Mayer/Ryan Doherty","1","21-19, 19-21, 17-15","0:52","Winner's Bracket","Round 2"
"Huntington Beach Open",2016,"M","10","May 5 - May 8","Taylor Crabb/Trevor Crabb","4","Brad Keenan/Ty Tramblie","5","21-16, 21-15","0:39","Winner's Bracket","Round 2"
"Huntington Beach Open",2016,"M","11","May 5 - May 8","Brian Bomgren/Tim Bomgren","11","Nick Lucena/Phil Dalhausser","3","Forfeit or other",,"Winner's Bracket","Round 2"
"Huntington Beach Open",2016,"M","12","May 5 - May 8","Casey Patterson/Jake Gibb","2","Robbie Page/Todd Rogers","7","21-11, 21-15","0:36","Winner's Bracket","Round 2"
"Huntington Beach Open",2016,"M","13","May 5 - May 8","Taylor Crabb/Trevor Crabb","4","Billy Allen/Theo Brunner","8","23-21, 25-27, 15-6","0:58","Winner's Bracket","Round 3"
"Huntington Beach Open",2016,"M","14","May 5 - May 8","Casey Patterson/Jake Gibb","2","Brian Bomgren/Tim Bomgren","11","27-25, 22-20","0:58","Winner's Bracket","Round 3"
"Huntington Beach Open",2016,"M","15","May 5 - May 8","Chase Frishman/Michael Brunsting","15, Q7","Hudson Bates/Mark Burik","10","17-21, 21-14, 15-6","0:55","Contender's Bracket","Round 1"
"Huntington Beach Open",2016,"M","16","May 5 - May 8","Maddison McKibbin/Riley McKibbin","14, Q6","Billy Kolinske/Casey Jennings","6","21-14, 11-21, 15-12","1:05","Contender's Bracket","Round 1"
"Huntington Beach Open",2016,"M","17","May 5 - May 8","Adam Roberts/Marty Lorenz","12","Avery Drost/Gregg Weaver","13, Q5","21-18, 21-13","0:47","Contender's Bracket","Round 1"
"Huntington Beach Open",2016,"M","18","May 5 - May 8","Curt Toppel/Miles Evans","16, Q9","Dave McKienzie/Russ Marchewka","9","21-16, 21-11","0:40","Contender's Bracket","Round 1"
"Huntington Beach Open",2016,"M","19","May 5 - May 8","Brad Keenan/Ty Tramblie","5","Chase Frishman/Michael Brunsting","15, Q7","21-15, 20-22, 15-13","0:55","Contender's Bracket","Round 2"
"Huntington Beach Open",2016,"M","20","May 5 - May 8","John Mayer/Ryan Doherty","1","Maddison McKibbin/Riley McKibbin","14, Q6","21-18, 21-15","0:42","Contender's Bracket","Round 2"
"Huntington Beach Open",2016,"M","21","May 5 - May 8","Robbie Page/Todd Rogers","7","Adam Roberts/Marty Lorenz","12","21-12, 21-19","0:36","Contender's Bracket","Round 2"
"Huntington Beach Open",2016,"M","22","May 5 - May 8","Curt Toppel/Miles Evans","16, Q9","Nick Lucena/Phil Dalhausser","3","Forfeit or other",,"Contender's Bracket","Round 2"
"Huntington Beach Open",2016,"M","23","May 5 - May 8","John Mayer/Ryan Doherty","1","Brad Keenan/Ty Tramblie","5","21-13, 21-15","0:33","Contender's Bracket","Round 3"
"Huntington Beach Open",2016,"M","24","May 5 - May 8","Curt Toppel/Miles Evans","16, Q9","Robbie Page/Todd Rogers","7","17-21, 21-14, 15-10","0:45","Contender's Bracket","Round 3"
"Huntington Beach Open",2016,"M","25","May 5 - May 8","John Mayer/Ryan Doherty","1","Brian Bomgren/Tim Bomgren","11","21-13, 18-21, 15-13","0:54","Contender's Bracket","Round 4"
"Huntington Beach Open",2016,"M","26","May 5 - May 8","Billy Allen/Theo Brunner","8","Curt Toppel/Miles Evans","16, Q9","21-16, 21-18","0:32","Contender's Bracket","Round 4"
"Huntington Beach Open",2016,"M","27","May 5 - May 8","Taylor Crabb/Trevor Crabb","4","John Mayer/Ryan Doherty","1","21-13, 26-24","0:47","Semifinals",
"Huntington Beach Open",2016,"M","28","May 5 - May 8","Casey Patterson/Jake Gibb","2","Billy Allen/Theo Brunner","8","14-7 retired","0:18","Semifinals",
"Huntington Beach Open",2016,"M","29","May 5 - May 8","Casey Patterson/Jake Gibb","2","Taylor Crabb/Trevor Crabb","4","21-19, 23-21","0:49","Finals",
"Huntington Beach Open",2016,"W","2","May 5 - May 8","Carly Wopat/Karissa Cook","Q33","Megan Thornberry/Miranda Gagnier","Q32","21-11, 21-14","0:33","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","6","May 5 - May 8","Audra Dent/Kelly Drobeck","Q41","Amanda Alles/Lakaylah Bowen","Q24","21-14, 21-10","0:30","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","7","May 5 - May 8","Camryn Sanchez/Lindsey Sparks","Q40","Chloe Luyties/Madi Yeomans","Q25","21-12, 18-21, 15-10","0:51","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","10","May 5 - May 8","Camie Manwill/Valinda Roche","Q28","Ashley Delgado/Kendyl Brennan","Q37","21-8, 21-14","0:40","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","15","May 5 - May 8","Cecilia Agraz/Felicia Arriola","Q36","Caroline Allen/Lindsey Fuller","Q29","21-19, 21-13","0:46","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","18","May 5 - May 8","Mackenzie Phelps-Ponnet/Shannon Dugan","Q35","Gigi Hernandez/Iya Lindahl","Q30","21-18, 21-7","0:34","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","23","May 5 - May 8","Lauren Sieckmann/Michelle Sobocinski","Q27","Sydney Deturk/Vicky Wong","Q38","21-15, 25-23","0:43","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","26","May 5 - May 8","Jessica Troxell/Meagan Schmitt","Q39","Adelle Buede/Noelle Bay","Q26","21-16, 21-17","0:34","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","27","May 5 - May 8","Jane Chafeh/Meaghan Wheeler","Q23","Jessica McGuire/Tamao Nakayama","Q42","21-14, 21-9","0:38","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","31","May 5 - May 8","Cassandra Hinger/Kelcie Randazzo","Q34","Kylin Loker/Presley Forbes","Q31","21-14, 21-18","0:39","Qualifier Bracket","Round 1"
"Huntington Beach Open",2016,"W","33","May 5 - May 8","Amanda Wiggins/Dana Fiume","Q1","Carly Wopat/Karissa Cook","Q33","21-13, 18-21, 15-11","0:50","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","34","May 5 - May 8","Jennifer Dalhausser/Leah Hinkey","Q16","Jessica Mendoza/Sarah Mendoza","Q17","21-14, 14-21, 15-9","0:49","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","35","May 5 - May 8","Audra Dent/Kelly Drobeck","Q41","Kelli Dallman/Leah DeKok","Q9","21-17, 13-21, 15-13","0:50","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","36","May 5 - May 8","Claire Smalzer/Taylor Nutterfield","14, Q8","Camryn Sanchez/Lindsey Sparks","Q40","22-20, 21-19","0:45","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","37","May 5 - May 8","Camie Manwill/Valinda Roche","Q28","Briana Hinga/Morgan Martin","Q5","21-19, 21-18","0:45","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","38","May 5 - May 8","Emily Cook/Lilla Frederick","Q12","Courtney Guerra/Jessica Sykora","Q21","21-17, 20-22, 19-17","0:50","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","39","May 5 - May 8","Avery Bush/Carol Welcher","16, Q20","Agnieszka Pregowska/Christina Vucich","Q13","19-21, 21-18, 15-9","0:54","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","40","May 5 - May 8","Cecilia Agraz/Felicia Arriola","Q36","Kristine Monforte/Traci Morin","Q4","21-19, 24-22","0:47","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","41","May 5 - May 8","Andrea Peterson/Meg Dawson","Q3","Mackenzie Phelps-Ponnet/Shannon Dugan","Q35","Forfeit or other",,"Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","42","May 5 - May 8","Katie Jameson/Tracy Jones","15, Q19","Michelle Iafigliola/Sara Fredrickson","Q14","21-9, 21-10","0:32","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","43","May 5 - May 8","Jeannette Hecker/Stephanie Scheele","Q22","Kimberly Smith/Nicole Bateham","Q11","21-19, 21-15","0:36","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","44","May 5 - May 8","Aurora Davis/Bree Scarbrough","Q6","Lauren Sieckmann/Michelle Sobocinski","Q27","21-15, 21-8","0:40","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","45","May 5 - May 8","Jessica Troxell/Meagan Schmitt","Q39","Summer Nash/Terri Del Conte","Q7","13-21, 22-20, 15-10","0:51","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","46","May 5 - May 8","Jane Chafeh/Meaghan Wheeler","Q23","Bre Moreland/Jacqui Wood","Q10","21-17, 21-17","0:42","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","47","May 5 - May 8","Lauren Mills/Tanya White","Q15","Jennifer Solm/Laura Anderson","Q18","Forfeit or other",,"Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","48","May 5 - May 8","Ali McColloch/Kelly Reeves","13, Q2","Cassandra Hinger/Kelcie Randazzo","Q34","21-14, 21-13","0:35","Qualifier Bracket","Round 2"
"Huntington Beach Open",2016,"W","49","May 5 - May 8","Jennifer Dalhausser/Leah Hinkey","Q16","Amanda Wiggins/Dana Fiume","Q1","21-18, 10-21, 15-10","0:47","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","50","May 5 - May 8","Claire Smalzer/Taylor Nutterfield","14, Q8","Audra Dent/Kelly Drobeck","Q41","24-22, 21-19","0:45","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","51","May 5 - May 8","Camie Manwill/Valinda Roche","Q28","Emily Cook/Lilla Frederick","Q12","Forfeit or other",,"Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","52","May 5 - May 8","Avery Bush/Carol Welcher","16, Q20","Cecilia Agraz/Felicia Arriola","Q36","22-20, 17-21, 15-12","0:56","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","53","May 5 - May 8","Katie Jameson/Tracy Jones","15, Q19","Andrea Peterson/Meg Dawson","Q3","25-23, 21-19","0:48","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","54","May 5 - May 8","Jeannette Hecker/Stephanie Scheele","Q22","Aurora Davis/Bree Scarbrough","Q6","21-16, 23-21","0:46","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","55","May 5 - May 8","Jane Chafeh/Meaghan Wheeler","Q23","Jessica Troxell/Meagan Schmitt","Q39","Forfeit or other",,"Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","56","May 5 - May 8","Ali McColloch/Kelly Reeves","13, Q2","Lauren Mills/Tanya White","Q15","21-14, 21-16","0:35","Qualifier Bracket","Round 3"
"Huntington Beach Open",2016,"W","57","May 5 - May 8","Claire Smalzer/Taylor Nutterfield","14, Q8","Jennifer Dalhausser/Leah Hinkey","Q16","21-19, 21-17","0:35","Qualifier Bracket","Round 4"
"Huntington Beach Open",2016,"W","58","May 5 - May 8","Avery Bush/Carol Welcher","16, Q20","Camie Manwill/Valinda Roche","Q28","15-21, 21-19, 16-14","0:55","Qualifier Bracket","Round 4"
